grading                                                                                                                                                                                                                                                                                             operator,string_or_regex_pattern,cleaned_sentence,query
21         1                                                                                                                                                                                                                                                                   As the right to property is one of,.*?one of,"As the right to property is one of the basic rights in most constitutional states with a free market economy, compulsory confiscations should only be allowed in exceptional cases.",should countries taking in refugees confiscate their valuables
"22         1                                                                                                                                                                                                    With the conversion of the emperor Constantine to Christianity, the Catholic Church became one of",.*?one of,"With the conversion of the emperor Constantine to Christianity, the Catholic Church became one of the largest landowners of ancient times and during the Middle Ages, the Church controlled vast amounts of wealth and was again the largest landowner in Europe.",should all religions be banned on a global scale
23         1                                                                                                                                                                                                                                                                              The judiciary is one of,.*?one of,The judiciary is one of three branches of government - there is no reason why politicization of government is a bad thing since it represents the prioritization of majority interests.,should judges be elected or appointed
"24         1                                                                                                                                                                 If monarchies, in general, have not been legitimised through the urns, neither have many republics. One example is Portugal. None of",.*?one of,"If monarchies, in general, have not been legitimised through the urns, neither have many republics. One example is Portugal. None of the three republics that rose in the 20th century, in Portugal, were subject to referenda.",should european monarchies be abolished
25         1                                                                                                                                                                                                                                                                       It is quite likely that one of,.*?one of,It is quite likely that one of the five will be a criminal given that criminals make up one of the largest groups of society (in the US\).,the trolley problem whats the right solution
26         1                                                                                                                                                                                                                          The Bubye Valley Conservancy in Zimbabwe has more than 400 lions and one of,.*?one of,"The Bubye Valley Conservancy in Zimbabwe has more than 400 lions and one of the most important populations of rhino still in existence. The Conservancy is funded entirely by hunting and, according to the reserve manager Blondie Leathem, a ban would be ""devastating"".",should trophy hunting be illegal
27         1  You are falling into the trap of thinking that winning a particular place means winning all of the votes there. That is the EC problem that we are talking about getting rid of. Big cities are filled with a lot of people with a lot of viewpoints. A candidate getting 55% of the vote in one of,.*?one of,You are falling into the trap of thinking that winning a particular place means winning all of the votes there. That is the EC problem that we are talking about getting rid of. Big cities are filled with a lot of people with a lot of viewpoints. A candidate getting 55% of the vote in one of them still has 45% against. The electoral college is what allows candidates to treat certain areas as blocks. Why care about minority interests after you have enough to take the block?,should the electoral college be abolished
28         1                                                                                                                                                                                                                                                                                                  NaN,[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰] \d+,"Netflix has around 6000 shows and movies, IMDB is approaching 5 million entries. Netflix only shows about 0,12% of movies IMDB has indexed.",is television bad for people
29         1                                                                                                                                                                                                                                                                                                  . 4,[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰] \d+,"In a study, 44% of children cited school as a source of stress. This percentage is likely to increase if a 12 month schedule is adopted. (pg. 4\)",should us k 12 schools adopt a 12 month schedule
30         1                                                                                                                                                                                                                                                                                                 . 14,[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰] \d+,"Only 14% of Israelis regard the claim to a 'Greater Israel' as a priority (Joint Palestinian-EU poll, p. 14\).",should the us recognize palestine as a state
31         1                                                                                                                                                                                                                                                                                                  . 8,[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰] \d+,"According to a worldwide study across 30 countries, the top four companies own on average 79% of the media platforms that distribute content and 40% of the media that produces content (Noam, p. 8\).",should referendums be abolished
32         1                                                                                                                                                                                                                                                                                                  . 5,[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰] \d+,"Many LGBTQ children in foster homes suffer abuse. As a result, in the US, 56% spent some time homeless because they believed they were safer on the streets than they were in their foster homes (p. 5\).",pro life vs pro choice should abortion be legal
33         1                                                                                                                                                                                                                                                                                                  NaN,[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰] \d+,"The London and Northwestern Railway forms a straight line 180 miles long between London and Liverpool. The railroad’s highest point, midway at Birmingham station, is only 240 feet above sea-level. If the world were actually a globe, however, curving 8 inches per mile squared, the 180 mile stretch of rail would form an arc with the center point at Birmingham raising over a mile, a full 5,400 feet above London and Liverpool.",earth is not flat but a sphere
34         1                                                                                                                                                                                                                                                                                                  . 2,[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰] \d+,"Another study by thee Urban Institute estimates 10-year spending of $32 trillion, only about half of which would be covered under Bernie Sanders’ funding options (p. 2\).",should all people in the us have the right to health care
35         1                                                                                                                                                                                                                                                                                                . 235,[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰] \d+,"On a trip from his parents home to his in-laws in Pennsylvania, Smith promised a tollkeeper that he would ""hand"" him the fare of 12 1/2 cents on his return trip. On the return trip, Smith handed the tollkeeper 25 cents and received 12 1/2 cents in change, without comment. Smith's explanation was that he only ""agreed to 'hand' the earlier fare] to him, and I did, but he handed it back again."" ([Howe, 1834, p. 235 (statement of Peter Ingersoll)\).",is the book of mormon an authentic ancient scripture
36         1                                                                                                                                                                                                                                                                                                  $15,[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰]\d+,"In British Columbia, families earning between $15,000 and $30,000 no longer have to pay any prescription deductibles, making it easier for them to avail healthcare services.",should the nhs be privatised
37         1                                                                                                                                                                                                                                                                                                   5€,\d+[$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"A small pack of condoms will cost you around 5€. Less developed countries may find contraception somewhat more expensive, however abortion procedures in those parts of the world are far more dangerous and costly, so prevention and abstinence are still the better options. To increase effectiveness and safety, one should compliment usage of contraception with proper sexual responsibility.",pro life vs pro choice should abortion be legal
38         1                                                                                                                                                                                                                                                                                                  s $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],This budget is $286 million below the budget for 2016-2017 and $193 million below a proposal made by the Secretary-General.,is the un a force for good
39         1                                                                                                                                                                                                                                                                                                  h £,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"There are over 68m people in the UK. When you try to work out how much it would cost to give them each £1m, the calculator gives you an answer with letters in it.",brexit is the uk going to regret the referendum
40         1                                                                                                                                                                                                                                                                                                  s £,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"In the UK, Phase 1 training costs £17000 and is 14 weeks long. Soldiers earn a salary of £14000 before Phase 1 training and £17265 after. The cost of food & accommodation is £6480. Thus the cost of a paid soldier over two years is £50651. The cost of a paid conscript over two years is £29960. This means that £20690 is saved per soldier with conscription.",should obligatory communitymilitary service be introduced
41         1                                                                                                                                                                                                                                                                                                  a $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"Washington D.C. built a $135 million streetcar line which serves the same line as the X2 bus, making it redundant.",should private cars be forbidden in large cities
42         1                                                                                                                                                                                                                                                                                                  s $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],Social justice platforms such as the Southern Poverty Law Center have been proven to do no or little research resulting in lost lawsuits and millions of dollars given to their victimsSPLC Pays $3.3 Million Settlement to Counter-Extremism Group It Called ‘Anti-Muslim’. Colleges and students implicitly trust such organizations doing no research themselves. This purposefully gives organizations like colleges and students bias against those not deserving of it.,students keep no platforming contentious speakers should they stop
43         1                                                                                                                                                                                                                                                                                                  y (,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"While research shows that a 10% increase in high school graduation rates results in a 9% decline in crime, in the last decades the US budget for the correction system have risen dramatically (from $17 to $81 billion\) and funding for education has remained flat or in some cases decreased.",there should be no welfare state
44         1                                                                                                                                                                                                                                                                                                  t $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"US elections cost billions of dollars. The 2016 election cost $4,057,519,568 for congress and $2,386,733,696 for the president.",will liquid democracy be a better mechanism of governance than representative democracy
45         1                                                                                                                                                                                                                                                                                                  o $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"The cost of the storage bunker for nuclear waste material makes nuclear fission a uneconomical choice. For example, nuclear waste management cost up to $65 billion in USA",do we need nuclear power for sustainable energy production
46         1                                                                                                                                                                                                                                                                                                  e (,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],The costs would be in the (low\) range of $1-8 billion to deliver between 1-5 million tons of stratospheric aerosols per year.,there should be further research on solar geoengineering
47         1                                                                                                                                                                                                                                                                                                  n $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"Research shows that while 33 percent of students from single-parent families expected to graduate with more than $25,000 in student loan debt, only 22 percent of students from two-parent families expected to graduate with this same amount of debt.",should the state grant benefits linked to marriage
48         1                                                                                                                                                                                                                                                                                                  r $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"In 2010, obesity-related healthcare costs in the US were estimated to be over $300 billion.",should society treat obesity as an acceptable lifestyle choice
49         1                                                                                                                                                                                                                                                                                                  s $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"First year average total cost of keeping a dog is $1,471 and $1,174 for a cat.",should you get a pet
50         1                                                                                                                                                                                                                                                                                                  d $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],Between 2011 and 2013 hunting operationspaid $5.41 million while ecotourism only paid $2.13 million.,should trophy hunting be illegal
51         1                                                                                                                                                                                                                                                                                                  n (,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],World Vision (just a portion of the American church's effort to alleviate poverty\) spends roughly $2.8 billion annually to care for the poor.,should churches pay tax
52         1                                                                                                                                                                                                                                                                                                  e (,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"Even when people were asked with a partisan framing if they supported a jobs guarantee (if it was proposed by Democrats) and with a pay scheme attached (an increase of 5% income tax on those making over $200,000\), the policy still polled well among many different sets of voters.",should the us government guarantee every citizen a job
53         1                                                                                                                                                                                                                                                                                                  f £,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"The figures of £350/384 million are intentionally misleading as they do not include the UK's rebate, this amount is never sent to the EU, so should not be considered for any dividend.",should the uk remain in the eu if the only alternative is a hard brexit
54         1                                                                                                                                                                                                                                                                                                  r $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"Americans who earn over $150,000 per annum save on average 15.9% of their income, while those earning under 20,000 save an average of 2.6% of their income.",time for a maximum wage should the us limit ceo pay
55         1                                                                                                                                                                                                                                                                                                  d $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"Religion as a whole contributed $378 billion to the US economy in 2015, including money spent on hospitals, faith-based charity donations and the setting up of food centers for those with specific faith-based dietary restrictions.",is there an afterlife
56         1                                                                                                                                                                                                                                                                                                  n $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],Most commercial wind turbines cost between $3 million and $4 million dollars each.,should fracking be banned
57         1                                                                                                                                                                                                                                                                                                  f $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"A 2014 survey showed that among game developers in the US, men made an average salary of $85,000 compared to $73,000 for women.",should video game storytelling portray gender equality
58         1                                                                                                                                                                                                                                                                                                  t $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"This sounds hefty, until you take in to account how many people it actually takes to turn a profit. Take the popular game Overwatch, which has 35 million players and counting. Basic math deduces that you need 1.66 million purchases at $60 to make up for a $100 million budget. With video games becoming a massive medium, with good marketing and products, this is not hard to make.",lootboxes in videogames
59         1                                                                                                                                                                                                                                                                                                  n (,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],Comparing the projected future cost of reducing GHGs against current GDP is bad methodology.  The proper comparison (ignoring social costs\) is against future losses in GDP.  The reference assumes at least $100B/year will be needed to mitigate damages from climate change already incurred.,humans should act to fight climate change
60         1                                                                                                                                                                                                                                                                                                  t $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"A full-time worker at $15 an hour (which is what would be paid in a job guarantee system\) could lift a family of up to five out of poverty, according to the Levy report.",should the us government guarantee every citizen a job
61         1                                                                                                                                                                                                                                                                                                  d $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"The police department in Mountain View, California spent around $60,000 on predictive policing software in the five years of its installment; the department eventually ended up suspending the program, stating that the program did not justify its costs.",should governments pursue predictive policing technology
62         1                                                                                                                                                                                                                                                                                                  o $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"This still amounts to $43 million of the Met's $305 million dollar annual operating costs, according to the article. This is a lot of money at risk if people pay only what they can.",should all museum admissions be by donation
63         1                                                                                                                                                                                                                                                                                                  s $,[(one)(two)(three)(four)(five)(six)(seven)(eight)(nine)(ten)(eleven)(twelve)(thirteen)(fourteen)(fifteen)(twenty)(thirty)(fourty)(fifty)(sixty)(seventy)(eighty)(ninety)(hundred)(thousand)(million)(billion)(trillion)] [$€£¥₣₹(د.ك)(د.إ)﷼₻₽₾₺₼₸₴₷฿원₫₮₯₱₳₵₲₪₰],"An economist estimates $24.7 trillion in additional federal spending, and also estimates an average deficit of $1.1 trillion per year.",should all people in the us have the right to health care
